Año;Numero de Mes;Mes;Provincia;Ciudad;Producción (kg);Consumo interno (kg);Exportaciones (kg);Precio USD por kg;Valor FOB (USD)
2011;6;Junio;Misiones;Apóstoles;69.929.307;12.997.226;1.479.473;$ 1,80;$ 2.663.052
2011;6;Junio;Misiones;Montecarlo;17.482.327;3.249.306;369.868;$ 1,80;$ 665.763
2011;6;Junio;Misiones;Oberá;8.158.419;1.516.343;172.605;$ 1,80;$ 310.689
2011;6;Junio;Misiones;Otros;9.323.908;1.732.963;197.263;$ 1,80;$ 355.074
2011;6;Junio;Misiones;Santo Pipó;11.654.885;2.166.204;246.579;$ 1,80;$ 443.842
2011;7;Julio;Corrientes;Colonia Liebig;8.307.119;1.715.534;195.279;$ 1,80;$ 351.502
2011;7;Julio;Corrientes;Gobernador Virasoro;7.366.691;1.521.323;173.172;$ 1,80;$ 311.710
2011;7;Julio;Misiones;Apóstoles;62.936.376;12.997.226;1.479.473;$ 1,80;$ 2.663.052
2011;7;Julio;Misiones;Montecarlo;15.734.094;3.249.306;369.868;$ 1,80;$ 665.763
2011;7;Julio;Misiones;Oberá;7.342.577;1.516.343;172.605;$ 1,80;$ 310.689
2011;7;Julio;Misiones;Otros;8.391.517;1.732.963;197.263;$ 1,80;$ 355.074
2011;7;Julio;Misiones;Santo Pipó;10.489.396;2.166.204;246.579;$ 1,80;$ 443.842
2011;8;Agosto;Corrientes;Colonia Liebig;6.461.093;1.715.534;219.689;$ 1,80;$ 395.440
2011;8;Agosto;Corrientes;Gobernador Virasoro;5.729.648;1.521.323;194.819;$ 1,80;$ 350.673
2011;8;Agosto;Misiones;Apóstoles;48.950.515;12.997.226;1.664.407;$ 1,80;$ 2.995.933
2011;8;Agosto;Misiones;Montecarlo;12.237.629;3.249.306;416.102;$ 1,80;$ 748.983
2011;8;Agosto;Misiones;Oberá;5.710.893;1.516.343;194.181;$ 1,80;$ 349.526
2011;8;Agosto;Misiones;Otros;6.526.735;1.732.963;221.921;$ 1,80;$ 399.458
2011;8;Agosto;Misiones;Santo Pipó;8.158.419;2.166.204;277.401;$ 1,80;$ 499.322
2011;9;Septiembre;Corrientes;Colonia Liebig;2.307.533;1.143.689;195.279;$ 1,80;$ 351.502
2011;9;Septiembre;Corrientes;Gobernador Virasoro;2.046.303;1.014.215;173.172;$ 1,80;$ 311.710
2011;9;Septiembre;Misiones;Apóstoles;17.482.327;8.664.817;1.479.473;$ 1,80;$ 2.663.052
2011;9;Septiembre;Misiones;Montecarlo;4.370.582;2.166.204;369.868;$ 1,80;$ 665.763
2011;9;Septiembre;Misiones;Oberá;2.039.605;1.010.895;172.605;$ 1,80;$ 310.689
2011;9;Septiembre;Misiones;Otros;2.330.977;1.155.309;197.263;$ 1,80;$ 355.074
2011;9;Septiembre;Misiones;Santo Pipó;2.913.721;1.444.136;246.579;$ 1,80;$ 443.842
2011;10;Octubre;Corrientes;Colonia Liebig;0;1.334.304;170.869;$ 1,80;$ 307.565
2011;10;Octubre;Corrientes;Gobernador Virasoro;0;1.183.251;151.526;$ 1,80;$ 272.746
2011;10;Octubre;Misiones;Apóstoles;0;10.108.953;1.294.539;$ 1,80;$ 2.330.170
2011;10;Octubre;Misiones;Montecarlo;0;2.527.238;323.635;$ 1,80;$ 582.543
2011;10;Octubre;Misiones;Oberá;0;1.179.378;151.030;$ 1,80;$ 271.853
2011;10;Octubre;Misiones;Otros;0;1.347.860;172.605;$ 1,80;$ 310.689
2011;10;Octubre;Misiones;Santo Pipó;0;1.684.826;215.757;$ 1,80;$ 388.362
2011;11;Noviembre;Corrientes;Colonia Liebig;0;1.334.304;219.689;$ 1,80;$ 395.440
2011;11;Noviembre;Corrientes;Gobernador Virasoro;0;1.183.251;194.819;$ 1,80;$ 350.673
2011;11;Noviembre;Misiones;Apóstoles;0;10.108.953;1.664.407;$ 1,80;$ 2.995.933
2011;11;Noviembre;Misiones;Montecarlo;0;2.527.238;416.102;$ 1,80;$ 748.983
2011;11;Noviembre;Misiones;Oberá;0;1.179.378;194.181;$ 1,80;$ 349.526
2011;11;Noviembre;Misiones;Otros;0;1.347.860;221.921;$ 1,80;$ 399.458
2011;11;Noviembre;Misiones;Santo Pipó;0;1.684.826;277.401;$ 1,80;$ 499.322
2011;12;Diciembre;Corrientes;Colonia Liebig;0;1.524.919;195.279;$ 1,80;$ 351.502
2011;12;Diciembre;Corrientes;Gobernador Virasoro;0;1.352.287;173.172;$ 1,80;$ 311.710
2011;12;Diciembre;Misiones;Apóstoles;0;11.553.090;1.479.473;$ 1,80;$ 2.663.052
2011;12;Diciembre;Misiones;Montecarlo;0;2.888.272;369.868;$ 1,80;$ 665.763
2011;12;Diciembre;Misiones;Oberá;0;1.347.860;172.605;$ 1,80;$ 310.689
2011;12;Diciembre;Misiones;Otros;0;1.540.412;197.263;$ 1,80;$ 355.074
2011;12;Diciembre;Misiones;Santo Pipó;0;1.925.515;246.579;$ 1,80;$ 443.842
2012;1;Enero;Corrientes;Colonia Liebig;2.408.219;1.312.928;186.454;$ 1,90;$ 354.263
2012;1;Enero;Corrientes;Gobernador Virasoro;2.135.590;1.164.294;165.346;$ 1,90;$ 314.158
2012;1;Enero;Misiones;Apóstoles;18.245.143;9.947.000;1.412.616;$ 1,90;$ 2.683.969
2012;1;Enero;Misiones;Montecarlo;4.561.286;2.486.750;353.154;$ 1,90;$ 670.992
2012;1;Enero;Misiones;Oberá;2.128.600;1.160.483;164.805;$ 1,90;$ 313.130
2012;1;Enero;Misiones;Otros;2.432.686;1.326.267;188.349;$ 1,90;$ 357.863
2012;1;Enero;Misiones;Santo Pipó;3.040.857;1.657.833;235.436;$ 1,90;$ 447.328
2012;2;Febrero;Corrientes;Colonia Liebig;2.408.219;1.312.928;209.761;$ 1,90;$ 398.546
2012;2;Febrero;Corrientes;Gobernador Virasoro;2.135.590;1.164.294;186.015;$ 1,90;$ 353.428
2012;2;Febrero;Misiones;Apóstoles;18.245.143;9.947.000;1.589.192;$ 1,90;$ 3.019.466
2012;2;Febrero;Misiones;Montecarlo;4.561.286;2.486.750;397.298;$ 1,90;$ 754.866
2012;2;Febrero;Misiones;Oberá;2.128.600;1.160.483;185.406;$ 1,90;$ 352.271
2012;2;Febrero;Misiones;Otros;2.432.686;1.326.267;211.892;$ 1,90;$ 402.595
2012;2;Febrero;Misiones;Santo Pipó;3.040.857;1.657.833;264.865;$ 1,90;$ 503.244
2012;3;Marzo;Corrientes;Colonia Liebig;2.408.219;1.312.928;209.761;$ 1,90;$ 398.546
2012;3;Marzo;Corrientes;Gobernador Virasoro;2.135.590;1.164.294;186.015;$ 1,90;$ 353.428
2012;3;Marzo;Misiones;Apóstoles;18.245.143;9.947.000;1.589.192;$ 1,90;$ 3.019.466
2012;3;Marzo;Misiones;Montecarlo;4.561.286;2.486.750;397.298;$ 1,90;$ 754.866
2012;3;Marzo;Misiones;Oberá;2.128.600;1.160.483;185.406;$ 1,90;$ 352.271
2012;3;Marzo;Misiones;Otros;2.432.686;1.326.267;211.892;$ 1,90;$ 402.595
2012;3;Marzo;Misiones;Santo Pipó;3.040.857;1.657.833;264.865;$ 1,90;$ 503.244
2012;4;Abril;Corrientes;Colonia Liebig;7.224.657;1.312.928;186.454;$ 1,90;$ 354.263
2012;4;Abril;Corrientes;Gobernador Virasoro;6.406.771;1.164.294;165.346;$ 1,90;$ 314.158
2012;4;Abril;Misiones;Apóstoles;54.735.429;9.947.000;1.412.616;$ 1,90;$ 2.683.969
2012;4;Abril;Misiones;Montecarlo;13.683.857;2.486.750;353.154;$ 1,90;$ 670.992
2012;4;Abril;Misiones;Oberá;6.385.800;1.160.483;164.805;$ 1,90;$ 313.130
2012;4;Abril;Misiones;Otros;7.298.057;1.326.267;188.349;$ 1,90;$ 357.863
2012;4;Abril;Misiones;Santo Pipó;9.122.571;1.657.833;235.436;$ 1,90;$ 447.328
2012;5;Mayo;Corrientes;Colonia Liebig;8.669.589;1.312.928;209.761;$ 1,90;$ 398.546
2012;5;Mayo;Corrientes;Gobernador Virasoro;7.688.126;1.164.294;186.015;$ 1,90;$ 353.428
2012;5;Mayo;Misiones;Apóstoles;65.682.514;9.947.000;1.589.192;$ 1,90;$ 3.019.466
2012;5;Mayo;Misiones;Montecarlo;16.420.629;2.486.750;397.298;$ 1,90;$ 754.866
2012;5;Mayo;Misiones;Oberá;7.662.960;1.160.483;185.406;$ 1,90;$ 352.271
2012;5;Mayo;Misiones;Otros;8.757.669;1.326.267;211.892;$ 1,90;$ 402.595
2012;5;Mayo;Misiones;Santo Pipó;10.947.086;1.657.833;264.865;$ 1,90;$ 503.244
2012;6;Junio;Corrientes;Colonia Liebig;9.632.876;1.688.050;186.454;$ 1,90;$ 354.263
2012;6;Junio;Corrientes;Gobernador Virasoro;8.542.362;1.496.950;165.346;$ 1,90;$ 314.158
2012;6;Junio;Misiones;Apóstoles;72.980.572;12.789.000;1.412.616;$ 1,90;$ 2.683.969
2012;6;Junio;Misiones;Montecarlo;18.245.143;3.197.250;353.154;$ 1,90;$ 670.992
2012;6;Junio;Misiones;Oberá;8.514.400;1.492.050;164.805;$ 1,90;$ 313.130
2012;6;Junio;Misiones;Otros;9.730.743;1.705.200;188.349;$ 1,90;$ 357.863
2012;6;Junio;Misiones;Santo Pipó;12.163.429;2.131.500;235.436;$ 1,90;$ 447.328
2012;7;Julio;Corrientes;Colonia Liebig;8.669.589;1.688.050;186.454;$ 1,90;$ 354.263
2012;7;Julio;Corrientes;Gobernador Virasoro;7.688.126;1.496.950;165.346;$ 1,90;$ 314.158
2012;7;Julio;Misiones;Apóstoles;65.682.514;12.789.000;1.412.616;$ 1,90;$ 2.683.969
2012;7;Julio;Misiones;Montecarlo;16.420.629;3.197.250;353.154;$ 1,90;$ 670.992
2012;7;Julio;Misiones;Oberá;7.662.960;1.492.050;164.805;$ 1,90;$ 313.130
2012;7;Julio;Misiones;Otros;8.757.669;1.705.200;188.349;$ 1,90;$ 357.863
2012;7;Julio;Misiones;Santo Pipó;10.947.086;2.131.500;235.436;$ 1,90;$ 447.328
2012;8;Agosto;Corrientes;Colonia Liebig;6.743.013;1.688.050;209.761;$ 1,90;$ 398.546
2012;8;Agosto;Corrientes;Gobernador Virasoro;5.979.653;1.496.950;186.015;$ 1,90;$ 353.428
2012;8;Agosto;Misiones;Apóstoles;51.086.400;12.789.000;1.589.192;$ 1,90;$ 3.019.466
2012;8;Agosto;Misiones;Montecarlo;12.771.600;3.197.250;397.298;$ 1,90;$ 754.866
2012;8;Agosto;Misiones;Oberá;5.960.080;1.492.050;185.406;$ 1,90;$ 352.271
2012;8;Agosto;Misiones;Otros;6.811.520;1.705.200;211.892;$ 1,90;$ 402.595
2012;8;Agosto;Misiones;Santo Pipó;8.514.400;2.131.500;264.865;$ 1,90;$ 503.244
2012;9;Septiembre;Corrientes;Colonia Liebig;2.408.219;1.125.367;186.454;$ 1,90;$ 354.263
2012;9;Septiembre;Corrientes;Gobernador Virasoro;2.135.590;997.967;165.346;$ 1,90;$ 314.158
2012;9;Septiembre;Misiones;Apóstoles;18.245.143;8.526.000;1.412.616;$ 1,90;$ 2.683.969
2012;9;Septiembre;Misiones;Montecarlo;4.561.286;2.131.500;353.154;$ 1,90;$ 670.992
2012;9;Septiembre;Misiones;Oberá;2.128.600;994.700;164.805;$ 1,90;$ 313.130
2012;9;Septiembre;Misiones;Otros;2.432.686;1.136.800;188.349;$ 1,90;$ 357.863
2012;9;Septiembre;Misiones;Santo Pipó;3.040.857;1.421.000;235.436;$ 1,90;$ 447.328
2012;10;Octubre;Corrientes;Colonia Liebig;0;1.312.928;163.148;$ 1,90;$ 309.980
2012;10;Octubre;Corrientes;Gobernador Virasoro;0;1.164.294;144.678;$ 1,90;$ 274.888
2012;10;Octubre;Misiones;Apóstoles;0;9.947.000;1.236.039;$ 1,90;$ 2.348.473
2012;10;Octubre;Misiones;Montecarlo;0;2.486.750;309.010;$ 1,90;$ 587.118
2012;10;Octubre;Misiones;Oberá;0;1.160.483;144.205;$ 1,90;$ 273.989
2012;10;Octubre;Misiones;Otros;0;1.326.267;164.805;$ 1,90;$ 313.130
2012;10;Octubre;Misiones;Santo Pipó;0;1.657.833;206.006;$ 1,90;$ 391.412
2012;11;Noviembre;Corrientes;Colonia Liebig;0;1.312.928;209.761;$ 1,90;$ 398.546
2012;11;Noviembre;Corrientes;Gobernador Virasoro;0;1.164.294;186.015;$ 1,90;$ 353.428
2012;11;Noviembre;Misiones;Apóstoles;0;9.947.000;1.589.192;$ 1,90;$ 3.019.466
2012;11;Noviembre;Misiones;Montecarlo;0;2.486.750;397.298;$ 1,90;$ 754.866
2012;11;Noviembre;Misiones;Oberá;0;1.160.483;185.406;$ 1,90;$ 352.271
2012;11;Noviembre;Misiones;Otros;0;1.326.267;211.892;$ 1,90;$ 402.595
2012;11;Noviembre;Misiones;Santo Pipó;0;1.657.833;264.865;$ 1,90;$ 503.244
2012;12;Diciembre;Corrientes;Colonia Liebig;0;1.500.489;186.454;$ 1,90;$ 354.263
2012;12;Diciembre;Corrientes;Gobernador Virasoro;0;1.330.622;165.346;$ 1,90;$ 314.158
2012;12;Diciembre;Misiones;Apóstoles;0;11.368.000;1.412.616;$ 1,90;$ 2.683.969
2012;12;Diciembre;Misiones;Montecarlo;0;2.842.000;353.154;$ 1,90;$ 670.992
2012;12;Diciembre;Misiones;Oberá;0;1.326.267;164.805;$ 1,90;$ 313.130
2012;12;Diciembre;Misiones;Otros;0;1.515.733;188.349;$ 1,90;$ 357.863
2012;12;Diciembre;Misiones;Santo Pipó;0;1.894.667;235.436;$ 1,90;$ 447.328
2013;1;Enero;Corrientes;Colonia Liebig;2.262.592;1.381.525;192.622;$ 2,00;$ 385.245
2013;1;Enero;Corrientes;Gobernador Virasoro;2.006.449;1.225.126;170.816;$ 2,00;$ 341.632
2013;1;Enero;Misiones;Apóstoles;17.141.841;10.466.702;1.459.345;$ 2,00;$ 2.918.690
2013;1;Enero;Misiones;Montecarlo;4.285.460;2.616.676;364.836;$ 2,00;$ 729.672
2013;1;Enero;Misiones;Oberá;1.999.881;1.221.115;170.257;$ 2,00;$ 340.514
2013;1;Enero;Misiones;Otros;2.285.579;1.395.560;194.579;$ 2,00;$ 389.159
2013;1;Enero;Misiones;Santo Pipó;2.856.974;1.744.450;243.224;$ 2,00;$ 486.448
2013;2;Febrero;Corrientes;Colonia Liebig;2.262.592;1.381.525;216.700;$ 2,00;$ 433.400
2013;2;Febrero;Corrientes;Gobernador Virasoro;2.006.449;1.225.126;192.168;$ 2,00;$ 384.336
2013;2;Febrero;Misiones;Apóstoles;17.141.841;10.466.702;1.641.763;$ 2,00;$ 3.283.526
2013;2;Febrero;Misiones;Montecarlo;4.285.460;2.616.676;410.441;$ 2,00;$ 820.882
2013;2;Febrero;Misiones;Oberá;1.999.881;1.221.115;191.539;$ 2,00;$ 383.078
2013;2;Febrero;Misiones;Otros;2.285.579;1.395.560;218.902;$ 2,00;$ 437.803
2013;2;Febrero;Misiones;Santo Pipó;2.856.974;1.744.450;273.627;$ 2,00;$ 547.254
2013;3;Marzo;Corrientes;Colonia Liebig;2.262.592;1.381.525;216.700;$ 2,00;$ 433.400
2013;3;Marzo;Corrientes;Gobernador Virasoro;2.006.449;1.225.126;192.168;$ 2,00;$ 384.336
2013;3;Marzo;Misiones;Apóstoles;17.141.841;10.466.702;1.641.763;$ 2,00;$ 3.283.526
2013;3;Marzo;Misiones;Montecarlo;4.285.460;2.616.676;410.441;$ 2,00;$ 820.882
2013;3;Marzo;Misiones;Oberá;1.999.881;1.221.115;191.539;$ 2,00;$ 383.078
2013;3;Marzo;Misiones;Otros;2.285.579;1.395.560;218.902;$ 2,00;$ 437.803
2013;3;Marzo;Misiones;Santo Pipó;2.856.974;1.744.450;273.627;$ 2,00;$ 547.254
2013;4;Abril;Corrientes;Colonia Liebig;6.787.775;1.381.525;192.622;$ 2,00;$ 385.245
2013;4;Abril;Corrientes;Gobernador Virasoro;6.019.348;1.225.126;170.816;$ 2,00;$ 341.632
2013;4;Abril;Misiones;Apóstoles;51.425.523;10.466.702;1.459.345;$ 2,00;$ 2.918.690
2013;4;Abril;Misiones;Montecarlo;12.856.381;2.616.676;364.836;$ 2,00;$ 729.672
2013;4;Abril;Misiones;Oberá;5.999.644;1.221.115;170.257;$ 2,00;$ 340.514
2013;4;Abril;Misiones;Otros;6.856.736;1.395.560;194.579;$ 2,00;$ 389.159
2013;4;Abril;Misiones;Santo Pipó;8.570.921;1.744.450;243.224;$ 2,00;$ 486.448
2013;5;Mayo;Corrientes;Colonia Liebig;8.145.330;1.381.525;216.700;$ 2,00;$ 433.400
2013;5;Mayo;Corrientes;Gobernador Virasoro;7.223.217;1.225.126;192.168;$ 2,00;$ 384.336
2013;5;Mayo;Misiones;Apóstoles;61.710.628;10.466.702;1.641.763;$ 2,00;$ 3.283.526
2013;5;Mayo;Misiones;Montecarlo;15.427.657;2.616.676;410.441;$ 2,00;$ 820.882
2013;5;Mayo;Misiones;Oberá;7.199.573;1.221.115;191.539;$ 2,00;$ 383.078
2013;5;Mayo;Misiones;Otros;8.228.084;1.395.560;218.902;$ 2,00;$ 437.803
2013;5;Mayo;Misiones;Santo Pipó;10.285.105;1.744.450;273.627;$ 2,00;$ 547.254
2013;6;Junio;Corrientes;Colonia Liebig;9.050.367;1.776.246;192.622;$ 2,00;$ 385.245
2013;6;Junio;Corrientes;Gobernador Virasoro;8.025.797;1.575.161;170.816;$ 2,00;$ 341.632
2013;6;Junio;Misiones;Apóstoles;68.567.364;13.457.189;1.459.345;$ 2,00;$ 2.918.690
2013;6;Junio;Misiones;Montecarlo;17.141.841;3.364.297;364.836;$ 2,00;$ 729.672
2013;6;Junio;Misiones;Oberá;7.999.526;1.570.005;170.257;$ 2,00;$ 340.514
2013;6;Junio;Misiones;Otros;9.142.315;1.794.292;194.579;$ 2,00;$ 389.159
2013;6;Junio;Misiones;Santo Pipó;11.427.894;2.242.865;243.224;$ 2,00;$ 486.448
2013;7;Julio;Corrientes;Colonia Liebig;8.145.330;1.776.246;192.622;$ 2,00;$ 385.245
2013;7;Julio;Corrientes;Gobernador Virasoro;7.223.217;1.575.161;170.816;$ 2,00;$ 341.632
2013;7;Julio;Misiones;Apóstoles;61.710.628;13.457.189;1.459.345;$ 2,00;$ 2.918.690
2013;7;Julio;Misiones;Montecarlo;15.427.657;3.364.297;364.836;$ 2,00;$ 729.672
2013;7;Julio;Misiones;Oberá;7.199.573;1.570.005;170.257;$ 2,00;$ 340.514
2013;7;Julio;Misiones;Otros;8.228.084;1.794.292;194.579;$ 2,00;$ 389.159
2013;7;Julio;Misiones;Santo Pipó;10.285.105;2.242.865;243.224;$ 2,00;$ 486.448
2013;8;Agosto;Corrientes;Colonia Liebig;6.335.257;1.776.246;216.700;$ 2,00;$ 433.400
2013;8;Agosto;Corrientes;Gobernador Virasoro;5.618.058;1.575.161;192.168;$ 2,00;$ 384.336
2013;8;Agosto;Misiones;Apóstoles;47.997.155;13.457.189;1.641.763;$ 2,00;$ 3.283.526
2013;8;Agosto;Misiones;Montecarlo;11.999.289;3.364.297;410.441;$ 2,00;$ 820.882
2013;8;Agosto;Misiones;Oberá;5.599.668;1.570.005;191.539;$ 2,00;$ 383.078
2013;8;Agosto;Misiones;Otros;6.399.621;1.794.292;218.902;$ 2,00;$ 437.803
2013;8;Agosto;Misiones;Santo Pipó;7.999.526;2.242.865;273.627;$ 2,00;$ 547.254
2013;9;Septiembre;Corrientes;Colonia Liebig;2.262.592;1.184.164;192.622;$ 2,00;$ 385.245
2013;9;Septiembre;Corrientes;Gobernador Virasoro;2.006.449;1.050.108;170.816;$ 2,00;$ 341.632
2013;9;Septiembre;Misiones;Apóstoles;17.141.841;8.971.459;1.459.345;$ 2,00;$ 2.918.690
2013;9;Septiembre;Misiones;Montecarlo;4.285.460;2.242.865;364.836;$ 2,00;$ 729.672
2013;9;Septiembre;Misiones;Oberá;1.999.881;1.046.670;170.257;$ 2,00;$ 340.514
2013;9;Septiembre;Misiones;Otros;2.285.579;1.196.195;194.579;$ 2,00;$ 389.159
2013;9;Septiembre;Misiones;Santo Pipó;2.856.974;1.495.243;243.224;$ 2,00;$ 486.448
2013;10;Octubre;Corrientes;Colonia Liebig;0;1.381.525;168.545;$ 2,00;$ 337.089
2013;10;Octubre;Corrientes;Gobernador Virasoro;0;1.225.126;149.464;$ 2,00;$ 298.928
2013;10;Octubre;Misiones;Apóstoles;0;10.466.702;1.276.927;$ 2,00;$ 2.553.854
2013;10;Octubre;Misiones;Montecarlo;0;2.616.676;319.232;$ 2,00;$ 638.463
2013;10;Octubre;Misiones;Oberá;0;1.221.115;148.975;$ 2,00;$ 297.950
2013;10;Octubre;Misiones;Otros;0;1.395.560;170.257;$ 2,00;$ 340.514
2013;10;Octubre;Misiones;Santo Pipó;0;1.744.450;212.821;$ 2,00;$ 425.642
2013;11;Noviembre;Corrientes;Colonia Liebig;0;1.381.525;216.700;$ 2,00;$ 433.400
2013;11;Noviembre;Corrientes;Gobernador Virasoro;0;1.225.126;192.168;$ 2,00;$ 384.336
2013;11;Noviembre;Misiones;Apóstoles;0;10.466.702;1.641.763;$ 2,00;$ 3.283.526
2013;11;Noviembre;Misiones;Montecarlo;0;2.616.676;410.441;$ 2,00;$ 820.882
2013;11;Noviembre;Misiones;Oberá;0;1.221.115;191.539;$ 2,00;$ 383.078
2013;11;Noviembre;Misiones;Otros;0;1.395.560;218.902;$ 2,00;$ 437.803
2013;11;Noviembre;Misiones;Santo Pipó;0;1.744.450;273.627;$ 2,00;$ 547.254
2013;12;Diciembre;Corrientes;Colonia Liebig;0;1.578.885;192.622;$ 2,00;$ 385.245
2013;12;Diciembre;Corrientes;Gobernador Virasoro;0;1.400.143;170.816;$ 2,00;$ 341.632
2013;12;Diciembre;Misiones;Apóstoles;0;11.961.946;1.459.345;$ 2,00;$ 2.918.690
2013;12;Diciembre;Misiones;Montecarlo;0;2.990.486;364.836;$ 2,00;$ 729.672
2013;12;Diciembre;Misiones;Oberá;0;1.395.560;170.257;$ 2,00;$ 340.514
2013;12;Diciembre;Misiones;Otros;0;1.594.926;194.579;$ 2,00;$ 389.159
2013;12;Diciembre;Misiones;Santo Pipó;0;1.993.658;243.224;$ 2,00;$ 486.448
2014;1;Enero;Corrientes;Colonia Liebig;2.544.478;1.372.683;181.516;$ 2,00;$ 363.031
2014;1;Enero;Corrientes;Gobernador Virasoro;2.256.424;1.217.285;160.967;$ 2,00;$ 321.933
2014;1;Enero;Misiones;Apóstoles;19.277.465;10.399.719;1.375.199;$ 2,00;$ 2.750.397
2014;1;Enero;Misiones;Montecarlo;4.819.366;2.599.930;343.800;$ 2,00;$ 687.599
2014;1;Enero;Misiones;Oberá;2.249.038;1.213.301;160.440;$ 2,00;$ 320.880
2014;1;Enero;Misiones;Otros;2.570.329;1.386.629;183.360;$ 2,00;$ 366.720
2014;1;Enero;Misiones;Santo Pipó;3.212.911;1.733.286;229.200;$ 2,00;$ 458.400
2014;2;Febrero;Corrientes;Colonia Liebig;2.544.478;1.372.683;204.205;$ 2,00;$ 408.410
2014;2;Febrero;Corrientes;Gobernador Virasoro;2.256.424;1.217.285;181.088;$ 2,00;$ 362.175
2014;2;Febrero;Misiones;Apóstoles;19.277.465;10.399.719;1.547.098;$ 2,00;$ 3.094.197
2014;2;Febrero;Misiones;Montecarlo;4.819.366;2.599.930;386.775;$ 2,00;$ 773.549
2014;2;Febrero;Misiones;Oberá;2.249.038;1.213.301;180.495;$ 2,00;$ 360.990
2014;2;Febrero;Misiones;Otros;2.570.329;1.386.629;206.280;$ 2,00;$ 412.560
2014;2;Febrero;Misiones;Santo Pipó;3.212.911;1.733.286;257.850;$ 2,00;$ 515.699
